"";"value";"lower";"count"
"343";"rue de Madrid";"rue de madrid";1
"344";"rue Magenta";"rue magenta";1
"345";"rue Manin";"rue manin";1
"346";"place du Maréchal De Lattre De Tassigny";"place du maréchal de lattre de tassigny";1
"347";"avenue du Maréchal Gallieni";"avenue du maréchal gallieni";1
"348";"pont Marie";"pont marie";1
"349";"quai de la Marne";"quai de la marne";1
"350";"rue du Maroc";"rue du maroc";1
"351";"rue de la Marseillaise";"rue de la marseillaise";1
"352";"place Mazas";"place mazas";1
"353";"rue de Meaux";"rue de meaux";1
"354";"quai de la Mégisserie";"quai de la mégisserie";1
"355";"rue Mendelssohn";"rue mendelssohn";1
"356";"rue de Ménilmontant";"rue de ménilmontant";1
"357";"rue de Metz";"rue de metz";1
"358";"rue de Mézières";"rue de mézières";1
"359";"pont Mirabeau";"pont mirabeau";1
"360";"rue Molitor";"rue molitor";1
"361";"rue du Mont Thabor";"rue du mont thabor";1
"362";"avenue Montaigne";"avenue montaigne";1
"363";"quai de Montebello";"quai de montebello";1
"364";"boulevard Morland";"boulevard morland";1
"365";"rue Moufle";"rue moufle";1
"366";"avenue de Neuilly";"avenue de neuilly";1
"367";"avenue de New York";"avenue de new york";1
"368";"pont Notre Dame";"pont notre dame";1
"369";"quai de l'Oise";"quai de l'oise";1
"370";"quai des Orfèvres";"quai des orfèvres";1
"371";"rue Orfila";"rue orfila";1
"372";"rue Pajol";"rue pajol";1
"373";"place du Palais Bourbon";"place du palais bourbon";1
"374";"avenue de Paris";"avenue de paris";1
"375";"rue de Passy";"rue de passy";1
"376";"rue Pernety";"rue pernety";1
"377";"place du Petit Pont";"place du petit pont";1
"378";"rue du Petit Pont";"rue du petit pont";1
"379";"rue des Petits Carreaux";"rue des petits carreaux";1
"380";"rue des Peupliers";"rue des peupliers";1
"381";"rue de Picpus";"rue de picpus";1
"382";"boulevard de Picpus";"boulevard de picpus";1
"383";"avenue Pierre De Coubertin";"avenue pierre de coubertin";1
"384";"place Pigalle";"place pigalle";1
"385";"rue des Plâtrières";"rue des plâtrières";1
"386";"rue de Ponthieu";"rue de ponthieu";1
"387";"avenue de la Porte d'Italie";"avenue de la porte d'italie";1
"388";"avenue de la Porte de la Villette";"avenue de la porte de la villette";1
"389";"avenue de la Porte de Montreuil";"avenue de la porte de montreuil";1
"390";"avenue de la Porte de Sèvres";"avenue de la porte de sèvres";1
"391";"rue Pouchet";"rue pouchet";1
"392";"rue du Pré";"rue du pré";1
"393";"avenue du Président Kennedy";"avenue du président kennedy";1
"394";"rue de la Procession";"rue de la procession";1
"395";"rue des Pyramides";"rue des pyramides";1
"396";"rue Rambuteau";"rue rambuteau";1
"397";"rue du Ranelagh";"rue du ranelagh";1
"398";"rue Raymond Losserand";"rue raymond losserand";1
"399";"avenue Raymond Poincaré";"avenue raymond poincaré";1
"400";"avenue Reille";"avenue reille";1
"401";"rue de Reuilly";"rue de reuilly";1
"402";"boulevard de Reuilly";"boulevard de reuilly";1
"403";"rue Richard Lenoir";"rue richard lenoir";1
"404";"boulevard Richard Wallace";"boulevard richard wallace";1
"405";"rue du Saint Gothard";"rue du saint gothard";1
"406";"rue Saint Maur";"rue saint maur";1
"407";"rue de Saint Pétersbourg";"rue de saint pétersbourg";1
"408";"rue des Saints Pères";"rue des saints pères";1
"409";"rue Saulnier";"rue saulnier";1
"410";"rue de Saussure";"rue de saussure";1
"411";"rue Sedaine";"rue sedaine";1
"412";"rue de Seine";"rue de seine";1
"413";"rue Sigmund Freud";"rue sigmund freud";1
"414";"rue Soufflot";"rue soufflot";1
"415";"rue de Tanger";"rue de tanger";1
"416";"rue de Tilsitt";"rue de tilsitt";1
"417";"pont de Tolbiac";"pont de tolbiac";1
"418";"rue du Transvaal";"rue du transvaal";1
"419";"rue du Trésor";"rue du trésor";1
"420";"rue Tronchet";"rue tronchet";1
"421";"rue Truffaut";"rue truffaut";1
"422";"rue de Turenne";"rue de turenne";1
"423";"rue Vauquelin";"rue vauquelin";1
"424";"rue Vavin";"rue vavin";1
"425";"rue de Verneuil";"rue de verneuil";1
"426";"rue Victor Duruy";"rue victor duruy";1
"427";"place Victor Hugo";"place victor hugo";1
"428";"rue du Vieux Colombier";"rue du vieux colombier";1
"429";"cours de Vincennes";"cours de vincennes";1
"430";"rue Vitruve";"rue vitruve";1
"431";"voie A/1";"voie a/1";0
"432";"voie A/11";"voie a/11";0
"433";"voie A/12";"voie a/12";0
"434";"voie A/15";"voie a/15";0
"435";"voie A/2";"voie a/2";0
"436";"voie A/6";"voie a/6";0
"437";"voie A/7";"voie a/7";0
"438";"voie A/8";"voie a/8";0
"439";"voie A/9";"voie a/9";0
"440";"autoroute A13";"autoroute a13";0
"441";"autoroute A4";"autoroute a4";0
"442";"voie AA/12";"voie aa/12";0
"443";"voie AA/13";"voie aa/13";0
"444";"voie AA/19";"voie aa/19";0
"445";"voie AB/20";"voie ab/20";0
"446";"chemin de l'Abbaye";"chemin de l'abbaye";0
"447";"rue de l'Abbaye";"rue de l'abbaye";0
"448";"place de l'Abbé Basset";"place de l'abbé basset";0
"449";"rue de l'Abbé Carton";"rue de l'abbé carton";0
"450";"rue de l'Abbé de l'Épée";"rue de l'abbé de l'épée";0
"451";"place de l'Abbé Franz Stock";"place de l'abbé franz stock";0
"452";"place de l'Abbé Georges Hénocque";"place de l'abbé georges hénocque";0
"453";"rue de l'Abbé Gillet";"rue de l'abbé gillet";0
"454";"rue de l'Abbé Grégoire";"rue de l'abbé grégoire";0
"455";"rue de l'Abbé Groult";"rue de l'abbé groult";0
"456";"place de l'Abbé Jean Lebeuf";"place de l'abbé jean lebeuf";0
"457";"rue de l'Abbé Migne";"rue de l'abbé migne";0
"458";"rue de l'Abbé Patureau";"rue de l'abbé patureau";0
"459";"rue de l'Abbé Roger Derry";"rue de l'abbé roger derry";0
"460";"avenue de l'Abbé Roussel";"avenue de l'abbé roussel";0
"461";"rue de l'Abbé Rousselot";"rue de l'abbé rousselot";0
"462";"rue de l'Abbé Soulange Bodin";"rue de l'abbé soulange bodin";0
"463";"passage des Abbesses";"passage des abbesses";0
