"";"value";"n"
"566";"place etoile";1
"567";"place étoile";1
"568";"place félix";1
"569";"place joinville";1
"570";"place la plus";1
"571";"place lachambaudie";1
"572";"place lachambeaudie";1
"573";"place mazas";1
"574";"place ou";1
"575";"place partout";1
"576";"place pas";1
"577";"place pigalle";1
"578";"place prosper";1
"579";"place république";1
"580";"place respectives";1
"581";"place saint-augustin";1
"582";"place une";1
"583";"place v";1
"584";"porte balard";1
"585";"porte clignancourt";1
"586";"porte d'arcueil";1
"587";"porte d'asnière";1
"588";"porte d'aubervillier";1
"589";"porte d'orléan";1
"590";"porte d'orleans";1
"591";"porte de";1
"592";"porte de aubervilliers";1
"593";"porte de bagnollet";1
"594";"porte de champerret";1
"595";"porte de charenton";1
"596";"porte de clignacourt";1
"597";"porte de clignantcourt";1
"598";"porte de gambetta";1
"599";"porte de l'enfer";1
"600";"porte de la chappelle";1
"601";"porte de la gare";1
"602";"porte de la vilette";1
"603";"porte de leurs";1
"604";"porte de passy";1
"605";"porte de saint cloud";1
"606";"porte de sèvres";1
"607";"porte de st cloud";1
"608";"porte de st ouen";1
"609";"porte des voitures";1
"610";"porte donc";1
"611";"porte du clichy";1
"612";"porte duaphine";1
"613";"porte est";1
"614";"porte la direction";1
"615";"porte la présence";1
"616";"porte ne";1
"617";"porte orleans";1
"618";"porte ou";1
"619";"porte pas";1
"620";"porte pouchet";1
"621";"porte quel";1
"622";"porte quelle";1
"623";"porte saint denis";1
"624";"porte saint martins";1
"625";"porte soudainement";1
"626";"porte st cloud";1
"627";"porte st martin";1
"628";"porte villette";1
"629";"route a";1
"630";"route alors";1
"631";"route après";1
"632";"route assez";1
"633";"route au";1
"634";"route autre";1
"635";"route comme";1
"636";"route contre";1
"637";"route cyclable";1
"638";"route de manière";1
"639";"route de part";1
"640";"route de pigalle";1
"641";"route des velos";1
"642";"route des voitures";1
"643";"route du vélo";1
"644";"route encore";1
"645";"route entre";1
"646";"route envers";1
"647";"route étroite";1
"648";"route eux";1
"649";"route généralisé";1
"650";"route insuffisante";1
"651";"route la plupart";1
"652";"route le cycliste";1
"653";"route motorisée";1
"654";"route n'est";1
"655";"route n'importe";1
"656";"route pavée";1
"657";"route précis";1
"658";"route puisqu";1
"659";"route semblent";1
"660";"route séparés";1
"661";"route serait";1
"662";"route sur";1
"663";"route traversant";1
"664";"route tu";1
"665";"route ultra";1
"666";"route vers";1
"667";"rue a";1
"668";"rue abel";1
"669";"rue alexandre";1
"670";"rue amsterdam";1
"671";"rue au";1
"672";"rue aucun";1
"673";"rue avant";1
"674";"rue bagnolet";1
"675";"rue bargue";1
"676";"rue barrault";1
"677";"rue basfroi";1
"678";"rue baudricourt";1
"679";"rue beaudricourt";1
"680";"rue belgrand";1
"681";"rue belleville";1
"682";"rue berthollet";1
"683";"rue bichat";1
"684";"rue boissy";1
"685";"rue buzelin";1
"686";"rue cabanis";1
"687";"rue caplat";1
"688";"rue car";1
"689";"rue cardinet";1
